253,4,2019-09-21 04:17:00 +0000 UTC,2019-09-21 05:00:00 +0000 UTC,{13.114690 77.374609},{13.046322 77.621619},true,32080.100000m,cab 23
259,4,2019-09-21 04:20:00 +0000 UTC,2019-09-21 05:00:00 +0000 UTC,{12.972307 77.755519},{13.046322 77.621619},true,21731.200000m,cab 22
265,4,2019-09-21 04:27:00 +0000 UTC,2019-09-21 05:00:00 +0000 UTC,{13.019474 77.713029},{12.920615 77.684075},true,14651.400000m,cab 2
278,4,2019-09-21 04:29:00 +0000 UTC,2019-09-21 05:00:00 +0000 UTC,{12.858909 77.613768},{12.920615 77.684075},true,14927.200000m,cab 6
284,4,2019-09-21 04:23:00 +0000 UTC,2019-09-21 05:00:00 +0000 UTC,{13.114871 77.571378},{13.046322 77.621619},true,14324.900000m,cab 7
3,4,2019-09-21 05:26:00 +0000 UTC,2019-09-21 06:15:00 +0000 UTC,{12.974990 77.631945},{12.849120 77.658289},true,19617.600000m,cab 2
28,4,2019-09-21 05:20:00 +0000 UTC,2019-09-21 06:15:00 +0000 UTC,{12.915108 77.665128},{12.849120 77.658289},true,12449.200000m,cab 31
37,4,2019-09-21 05:28:00 +0000 UTC,2019-09-21 06:16:00 +0000 UTC,{13.051350 77.509412},{12.921477 77.669084},true,29140.500000m,cab 3
45,4,2019-09-21 05:20:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{13.019886 77.554358},{13.051540 77.595405},true,9498.900000m,cab 30
67,4,2019-09-21 05:20:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{13.004708 77.561664},{13.051540 77.595405},true,11247.700000m,cab 33
82,4,2019-09-21 05:20:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{12.974639 77.682976},{13.051540 77.595405},true,20232.500000m,cab 28
96,4,2019-09-21 05:00:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{12.883915 77.550540},{13.051540 77.595405},true,23158.900000m,cab 32
103,4,2019-09-21 05:15:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{12.913140 77.488896},{13.051540 77.595405},true,24073.400000m,cab 34
118,4,2019-09-21 05:00:00 +0000 UTC,2019-09-21 06:00:00 +0000 UTC,{12.917310 77.638192},{13.046322 77.621619},true,18682.800000m,cab 29
22,4,2019-09-21 11:20:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.896927 77.720528},{13.043767 77.616354},true,26874.400000m,cab 13
47,4,2019-09-21 11:22:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.875848 77.639818},{13.043767 77.616354},true,24878.700000m,cab 3
61,4,2019-09-21 11:22:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.828879 77.707558},{13.043767 77.616354},true,33213.100000m,cab 24
105,4,2019-09-21 11:06:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.916328 77.545330},{13.043767 77.616354},true,22664.100000m,cab 26
112,4,2019-09-21 11:25:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.942108 77.500629},{13.043767 77.616354},true,23441.400000m,cab 7
120,4,2019-09-21 11:15:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.897495 77.540240},{13.043767 77.616354},true,25568.400000m,cab 23
127,4,2019-09-21 11:25:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.881284 77.659833},{13.043767 77.616354},true,25302.900000m,cab 22
134,4,2019-09-21 11:18:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.852551 77.619517},{13.043767 77.616354},true,26109.800000m,cab 25
148,4,2019-09-21 11:15:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.940828 77.497312},{12.991484 77.697790},true,27201.800000m,cab 27
155,4,2019-09-21 11:15:00 +0000 UTC,2019-09-21 12:54:00 +0000 UTC,{12.982532 77.675129},{12.921477 77.669084},true,12072.700000m,cab 20
162,4,2019-09-21 11:26:00 +0000 UTC,2019-09-21 12:36:00 +0000 UTC,{13.069868 77.560379},{12.921477 77.669084},true,27628.200000m,cab 4
181,4,2019-09-21 11:25:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.975895 77.524332},{12.991484 77.697790},true,23069.700000m,cab 5
255,4,2019-09-21 11:25:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.993541 77.537750},{12.991484 77.697790},true,21903.800000m,cab 21
261,4,2019-09-21 11:02:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.925244 77.636802},{12.991898 77.703648},true,15934.000000m,cab 18
267,4,2019-09-21 11:26:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{13.067941 77.625550},{12.991898 77.703648},true,16435.700000m,cab 6
